"Comuna","COD","Votacion_2004","Votacion_2008","Votacion_2012","Votacion_2016","Votacion_2021","Participacion_2004","Participacion_2008","Participacion_2012","Participacion_2016","Participacion_2021","Inscritos_2004","Inscritos_2008","Inscritos_Total_2012","Inscritos_Total_2016","Inscritos_Total_2021","n_prot","prot_dum","treat","concertatotal_2004","concertatotal_2008","concertatotal_2012","concertatotal_2016","concertatotal_2021","concerta_prop_2004","concerta_prop_2008","concerta_prop_2012","concerta_prop_2016","concerta_prop_2021","derechatotal_2004","derechatotal_2008","derechatotal_2012","derechatotal_2016","derechatotal_2021","derecha_prop_2004","derecha_prop_2008","derecha_prop_2012","derecha_prop_2016","derecha_prop_2021","indeptotal_2004","indeptotal_2008","indeptotal_2012","indeptotal_2016","indeptotal_2021","indep_prop_2004","indep_prop_2008","indep_prop_2012","indep_prop_2016","indep_prop_2021","otrostotal_2004","otrostotal_2008","otrostotal_2012","otrostotal_2016","otrostotal_2021","otros_prop_2004","otros_prop_2008","otros_prop_2012","otros_prop_2016","otros_prop_2021"
"FRUTILLAR",10105,7228,7685,8062,8239,7967,0.886110089493686,0.887003693444137,0.5878,0.5551,0.4748,8157,8664,13715,14843,16778,5,1,"Treated",3431,5318,4326,3016,4538,0.474681793027117,0.691997397527651,0.536591416521955,0.366063842699357,0.569599598343166,850,2018,2390,3740,3281,0.11759822910902,0.262589459986988,0.296452493177872,0.453938584779706,0.411823773063889,2463,0,1115,1319,0,0.340758162700609,0,0.138303150582982,0.160092244204394,0,154,0,0,0,0,0.021306032097399,0,0,0,0
"FUTALEUFU",10402,1313,1256,1528,1521,1644,0.797207043108682,0.740566037735849,0.4498,0.4214,0.4263,1647,1696,3397,3609,3856,0,0,"Control",774,562,669,415,95,0.589489718202589,0.447452229299363,0.43782722513089,0.27284681130835,0.0577858880778589,519,281,528,140,65,0.395277989337395,0.223726114649682,0.345549738219895,0.0920447074293228,0.0395377128953771,0,0,0,944,1455,0,0,0,0.620644312952005,0.885036496350365,0,377,300,0,0,0,0.30015923566879,0.196335078534031,0,0
"FUTRONO",14202,6756,6736,6847,6541,5989,0.836863619472315,0.82236601147601,0.5197,0.4774,0.4092,8073,8191,13176,13700,14637,0,0,"Control",2749,2797,3739,2617,2188,0.406897572528123,0.415231591448931,0.546078574558201,0.400091729093411,0.365336450158624,3357,3292,2952,3766,2708,0.496891651865009,0.488717339667458,0.431137724550898,0.57575294297508,0.4521622975455,165,356,0,0,0,0.0244227353463588,0.0528503562945368,0,0,0,183,0,0,0,935,0.0270870337477798,0,0,0,0.15611955251294
"GALVARINO",9106,6434,6521,6498,6482,5953,0.82255177703912,0.826489226869455,0.5653,0.5483,0.4897,7822,7890,11494,11821,12157,0,0,"Control",3078,2589,0,3783,2299,0.478396021137706,0.397024996166232,0,0.583616167849429,0.386191836049051,2406,1929,2427,258,1902,0.373950885918558,0.295813525532894,0.373499538319483,0.0398025300833076,0.319502771711742,441,1496,0,523,0,0.0685421199875661,0.2294126667689,0,0.0806849737735267,0,168,217,3795,1758,1626,0.0261112838047871,0.033277104738537,0.584025854108957,0.271212588707189,0.273139593482278
"GENERAL LAGOS",15202,1259,1376,1313,1230,753,0.665081880612784,0.612644701691897,0.4375,0.4731,0.3754,1893,2246,3001,2600,2006,1,1,"Treated",468,474,184,292,92,0.371723590150913,0.344476744186047,0.14013709063214,0.23739837398374,0.122177954847278,561,628,629,356,374,0.445591739475774,0.456395348837209,0.479055597867479,0.289430894308943,0.49667994687915,73,203,431,535,276,0.0579825258141382,0.147529069767442,0.328255902513328,0.434959349593496,0.366533864541833,41,0,17,0,0,0.0325655281969817,0,0.0129474485910129,0,0
"GORBEA",9107,8545,8440,7966,7209,7211,0.843617336360944,0.844506704022413,0.5251,0.4709,0.4605,10129,9994,15171,15308,15659,0,0,"Control",3015,3691,3944,2719,3767,0.352837916910474,0.437322274881517,0.495104192819483,0.377167429601887,0.52239633892664,2789,3795,3821,3538,2740,0.326389701579871,0.449644549763033,0.479663570173236,0.490775419614371,0.379975038136181,2178,289,0,678,600,0.254885898186074,0.0342417061611374,0,0.0940491052850603,0.0832062127305506,109,284,0,102,0,0.01275599765945,0.0336492890995261,0,0.0141489804411153,0
"GRANEROS",6106,14057,14231,13990,12691,13485,0.923526706523881,0.924150918890837,0.5803,0.4965,0.5017,15221,15399,24108,25563,26877,3,1,"Treated",6620,6060,5851,4069,2924,0.470939745322615,0.425830932471365,0.418227305218013,0.320620912457647,0.216833518724509,3162,1854,984,441,1240,0.224941310379171,0.13027896844916,0.0703359542530379,0.0347490347490347,0.0919540229885057,2755,4733,6713,7851,9088,0.195987764103294,0.332583795938444,0.479842744817727,0.618627373729415,0.673934000741565,607,667,0,0,0,0.0431813331436295,0.0468695102241585,0,0,0
"GUAITECAS",11203,796,857,952,1028,990,0.8,0.755731922398589,0.6543,0.6354,0.5677,995,1134,1455,1618,1744,2,1,"Treated",278,105,394,237,479,0.349246231155779,0.122520420070012,0.413865546218487,0.230544747081712,0.483838383838384,400,371,549,670,160,0.50251256281407,0.432905484247375,0.576680672268908,0.651750972762646,0.161616161616162,102,0,0,0,339,0.128140703517588,0,0,0,0.342424242424242,0,370,0,108,0,0,0.431738623103851,0,0.105058365758755,0
"HIJUELAS",5503,8373,8451,7722,7204,7473,0.932820855614973,0.928987578322524,0.5473,0.4922,0.4788,8976,9097,14109,14637,15609,0,0,"Control",2945,1148,1654,0,0,0.351725785262152,0.13584191219974,0.214193214193214,0,0,3557,5378,5707,4893,1763,0.424817866953302,0.636374393562892,0.739057239057239,0.679205996668517,0.235915964137562,834,1437,0,1858,5341,0.0996058760300967,0.170039048633298,0,0.257912270960577,0.714706275926669,334,0,0,295,166,0.0398901230144512,0,0,0.0409494725152693,0.0222133012177171
"HUALAIHUE",10403,4527,4720,4958,3938,4516,0.86212150066654,0.84800574919152,0.6194,0.4965,0.5196,5251,5566,8005,7931,8692,1,1,"Treated",936,1825,2502,2630,543,0.20675944333996,0.386652542372881,0.504638967325534,0.667851701371254,0.120239149689991,1754,1462,1101,1074,832,0.38745305942125,0.309745762711864,0.222065348931021,0.272727272727273,0.184233835252436,1665,1178,1210,0,2863,0.36779324055666,0.249576271186441,0.244050020169423,0,0.633968113374668,0,46,0,0,140,0,0.00974576271186441,0,0,0.0310008857395926
"HUALANE",7302,6007,5910,6020,6141,5704,0.917379352474038,0.899269628727937,0.6782,0.6652,0.583,6548,6572,8877,9232,9784,4,1,"Treated",3308,2144,2754,2515,3591,0.55069086066256,0.362774957698816,0.457475083056478,0.409542419801335,0.629558204768583,232,2914,2994,3489,1573,0.0386216081238555,0.493062605752961,0.49734219269103,0.568148510014656,0.275771388499299,2183,489,118,0,302,0.363409355751623,0.082741116751269,0.0196013289036545,0,0.052945301542777,0,141,0,0,97,0,0.0238578680203046,0,0,0.0170056100981767
"HUALPEN",8112,45735,44089,33104,27652,34701,0.850598869215891,0.852340170510565,0.4504,0.364,0.4474,53768,51727,73497,75974,77561,3,1,"Treated",19530,29389,12157,8221,7433,0.427025254181699,0.666583501553676,0.367236587723538,0.297302184290467,0.21420131984669,8330,8183,10164,8444,5041,0.182136219525527,0.185601850801787,0.30703238279362,0.305366700419499,0.145269588772658,10672,0,8410,9979,15565,0.233344265879523,0,0.254047849202513,0.360878055836829,0.44854615140774,1870,2567,418,0,5973,0.0408877227506286,0.0582231395586201,0.0126268728854519,0,0.172127604391804
"HUALQUI",8105,10234,10858,10298,8864,9728,0.897011131562801,0.879546375050628,0.5657,0.4673,0.474,11409,12345,18204,18967,20524,0,0,"Control",3662,2105,7220,5218,2767,0.357826851670901,0.193866273715233,0.701107011070111,0.588673285198556,0.284436677631579,2636,737,2505,2225,0,0.257572796560485,0.0678762202983975,0.243251116721694,0.251015342960289,0,3146,6872,0,0,6760,0.307406683603674,0.632897402836618,0,0,0.694901315789474,0,563,0,957,0,0,0.0518511696445017,0,0.107964801444043,0
"HUARA",1404,2833,3148,2643,2350,2625,0.760536912751678,0.764448761534726,0.2679,0.2529,0.2801,3725,4118,9866,9294,9373,3,1,"Treated",739,927,1405,1058,232,0.260854218143311,0.294472681067344,0.53159288687098,0.450212765957447,0.0883809523809524,255,1451,648,1058,1463,0.0900105894811154,0.460927573062262,0.245175936435868,0.450212765957447,0.557333333333333,955,0,0,0,883,0.337098482174373,0,0,0,0.336380952380952,783,637,521,199,0,0.276385457112601,0.202350698856417,0.197124479757851,0.0846808510638298,0
"HUASCO",3304,4158,4455,4342,4247,4515,0.823855755894591,0.839141081182897,0.5733,0.54,0.5369,5047,5309,7574,7865,8409,6,1,"Treated",2833,1505,2935,2184,257,0.681337181337181,0.337822671156004,0.6759557807462,0.514245349658582,0.056921373200443,125,779,131,364,1234,0.0300625300625301,0.174859708193042,0.0301704283740212,0.0857075582764304,0.273311184939092,1056,2003,1195,1623,2956,0.253968253968254,0.449607182940516,0.275218793182865,0.382152107369908,0.654706533776301,0,47,0,0,0,0,0.0105499438832772,0,0,0
"HUECHURABA",13107,29907,30626,27677,25574,37210,0.906025629373807,0.910485477301781,0.4556,0.3838,0.5063,33009,33637,60752,66640,73498,3,1,"Treated",10318,10173,12381,16208,20724,0.34500284214398,0.332168745510351,0.447338945694981,0.633768671306796,0.556947057242677,15760,1150,7431,5944,5303,0.526966930818872,0.0375497942924313,0.26849008201756,0.232423555173223,0.142515452835259,0,16458,4666,2412,0,0,0.537386534317247,0.168587635943202,0.0943145382028623,0,1497,0,1839,262,10640,0.0500551710301936,0,0.06644506268743,0.0102447798545398,0.285944638538027
"ILLAPEL",4201,13942,13495,13261,12376,13238,0.821858052346145,0.812707015959048,0.5128,0.4629,0.4741,16964,16605,25861,26737,27921,0,0,"Control",10562,4047,12199,0,5247,0.757567063548989,0.299888847721378,0.919915541814343,0,0.396358966611271,2302,1297,288,0,586,0.165112609381724,0.0961096702482401,0.0217178191689918,0,0.0442665055144282,0,0,0,12165,6667,0,0,0,0.982950872656755,0.50362592536637,0,7519,432,0,511,0,0.5571693219711,0.0325767287534877,0,0.0386009971294758
"INDEPENDENCIA",13108,39040,40099,29526,23076,31249,0.848289948285603,0.842044476176477,0.3898,0.2977,0.3782,46022,47621,75749,77520,82629,6,1,"Treated",16305,12239,16109,13463,2196,0.417648565573771,0.305219581535699,0.545586940323782,0.583420003466805,0.0702742487759608,17297,18300,12333,3513,6888,0.443058401639344,0.45637048305444,0.41769965454176,0.152236089443578,0.220423053537713,0,0,0,5018,19504,0,0,0,0.217455364881262,0.624147972735128,1940,5482,0,395,2000,0.0496926229508197,0.136711638694232,0,0.0171173513607211,0.0640020480655381
"IQUIQUE",1101,68307,67363,58833,46405,62200,0.793308092539255,0.786289569520964,0.4,0.2939,0.3712,86104,85672,147085,157867,167552,179,1,"Treated",23056,3534,1903,20229,28345,0.337534952493888,0.0524620340543028,0.0323457923274353,0.435922853140825,0.455707395498392,7067,32924,22564,20108,12513,0.10345938190815,0.488754954500245,0.383526252273384,0.43331537549833,0.201173633440514,0,0,1016,0,0,0,0,0.0172692196556354,0,0,34982,26634,31478,4417,20312,0.512129064371148,0.395380253254754,0.535039858582768,0.0951837086520849,0.326559485530547
"ISLA DE MAIPO",13603,12474,12912,11331,10601,13850,0.932565789473684,0.928386540120794,0.4874,0.4199,0.4953,13376,13908,23249,25244,27965,1,1,"Treated",6775,6102,5439,5348,5018,0.543129709796376,0.472583643122677,0.480010590415674,0.504480709367041,0.362310469314079,4990,1486,4146,4421,5167,0.400032066698733,0.115086741016109,0.365898861530315,0.417036128667107,0.373068592057762,0,4536,0,0,515,0,0.351301115241636,0,0,0.0371841155234657,0,0,1132,500,2966,0,0,0.0999029211896567,0.0471653617583247,0.214151624548736
"ISLA DE PASCUA",5201,1751,1889,2392,2419,3476,0.766637478108581,0.754694366759888,0.5124,0.4699,0.5518,2284,2503,4668,5148,6299,1,1,"Treated",1004,868,630,0,2170,0.573386636207881,0.459502382212811,0.263377926421405,0,0.624280782508631,702,701,413,245,474,0.400913763563678,0.371095817893065,0.172658862876254,0.101281521289789,0.136363636363636,0,0,310,808,760,0,0,0.129598662207358,0.33402232327408,0.218642117376295,0,280,1013,1328,0,0,0.148226574907358,0.423494983277592,0.548987184787102,0
"JUAN FERNANDEZ",5104,400,509,508,532,648,0.709219858156028,0.764264264264264,0.604,0.6115,0.6619,564,666,841,870,979,0,0,"Control",181,51,7,0,511,0.4525,0.100196463654224,0.0137795275590551,0,0.78858024691358,211,285,230,270,131,0.5275,0.55992141453831,0.452755905511811,0.507518796992481,0.202160493827161,0,0,0,0,0,0,0,0,0,0,0,163,268,258,0,0,0.320235756385069,0.52755905511811,0.484962406015038,0
"LA CISTERNA",13109,49732,46483,30478,21524,35649,0.856267217630854,0.850293595770757,0.3666,0.2562,0.4282,58080,54667,83133,84017,83247,21,1,"Treated",20642,23846,17204,11340,6742,0.415064747044157,0.513004754426349,0.564472734431393,0.526853744657127,0.189121714494095,15028,16546,9124,4798,6398,0.302179683101424,0.355958092205753,0.299363475293654,0.222913956513659,0.179472074953014,4597,0,0,0,14624,0.0924354540336202,0,0,0,0.410221885606889,2712,0,2607,4419,7295,0.0545322930909676,0,0.0855371087341689,0.205305705259245,0.204634071081938
"LA CRUZ",5504,6937,7068,6625,7492,8748,0.932016659948945,0.925009815469179,0.5517,0.5368,0.5357,7443,7641,12008,13958,16329,0,0,"Control",2482,2409,3011,3182,3817,0.357791552544328,0.340831918505942,0.454490566037736,0.424719701014415,0.436328303612254,3635,3838,3360,3940,3770,0.524001729854404,0.543010752688172,0.507169811320755,0.525894287239722,0.43095564700503,0,0,0,156,0,0,0,0,0.0208222103577149,0,273,362,0,68,0,0.0393541876892028,0.0512167515563101,0,0.00907634810464495,0
"LA ESTRELLA",6202,2461,2443,2611,2529,2592,0.812479366127435,0.864166961443226,0.7999,0.7098,0.6934,3029,2827,3264,3563,3738,0,0,"Control",925,1147,1170,507,0,0.375863470134092,0.469504707327057,0.44810417464573,0.200474495848161,0,1091,1206,1391,1130,349,0.443315725314913,0.493655341792878,0.532746074301034,0.446816923685251,0.134645061728395,344,0,0,838,1574,0.139780577001219,0,0,0.331356267299328,0.607253086419753,59,40,0,0,645,0.0239739943112556,0.0163733115022513,0,0,0.248842592592593
"LA FLORIDA",13110,145983,146501,113648,86042,155767,0.887569539443684,0.89376201079828,0.3984,0.2868,0.5067,164475,163915,285274,299996,307414,20,1,"Treated",62300,69106,42436,19785,8906,0.426762020235233,0.471710090716104,0.373398563987048,0.229945840403524,0.0571751397921254,64115,61806,50676,56341,90206,0.439194974757335,0.421881079310039,0.445903139518513,0.654808116966133,0.579108540319837,0,0,0,0,0,0,0,0,0,0,7430,0,14702,7009,54632,0.0508963372447477,0,0.129364353090244,0.0814602171032752,0.350728973402582
"LA GRANJA",13111,54587,52394,32869,22337,43293,0.866831816810379,0.870983293159338,0.3193,0.2116,0.4167,62973,60155,102932,105549,103905,13,1,"Treated",31567,30165,22877,13439,19594,0.578287870738454,0.575733862656029,0.696005354589431,0.60164749071048,0.452590488069665,11507,8789,5469,2626,1634,0.210801106490556,0.167748215444517,0.166387781800481,0.117562788198952,0.0377428221652461,0,0,0,1605,0,0,0,0,0.0718538747369835,0,4966,6304,2077,3313,21131,0.0909740414384377,0.120319120509982,0.0631902400438103,0.14831893271254,0.488092763264269
"LA HIGUERA",4104,2274,2592,2662,2464,2538,0.890716803760282,0.890721649484536,0.6382,0.5912,0.5634,2553,2910,4171,4168,4505,0,0,"Control",1209,1050,391,739,1093,0.531662269129288,0.405092592592593,0.146882043576258,0.299918831168831,0.430654058313633,899,738,874,1662,1395,0.395338610378188,0.284722222222222,0.328324567993989,0.674512987012987,0.549645390070922,0,725,1343,0,0,0,0.279706790123457,0.50450788880541,0,0,71,0,0,0,0,0.0312225153913808,0,0,0,0
"LA LIGUA",5401,15929,16111,15550,14640,14848,0.919688221709007,0.916022287923584,0.5646,0.5065,0.492,17320,17588,27543,28904,30181,4,1,"Treated",1613,0,7841,6860,1708,0.101261849456965,0,0.504244372990354,0.468579234972678,0.115032327586207,5362,5116,6604,5829,3681,0.336618745683973,0.317547017565638,0.424694533762058,0.398155737704918,0.247912176724138,1210,3645,700,831,7237,0.0759620817377111,0.22624293960648,0.045016077170418,0.0567622950819672,0.487405711206897,6911,6679,0,825,1933,0.433862766024233,0.414561479734343,0,0.0563524590163934,0.13018588362069
"LA PINTANA",13112,53671,53371,38931,29068,50613,0.877450259126653,0.891195084075008,0.3063,0.2129,0.3639,61167,59887,127086,136563,139100,2,1,"Treated",28607,30336,19784,8313,21061,0.533006651636824,0.568398568510989,0.508181140993039,0.285984587862942,0.4161183885563,14206,10211,12046,7270,2915,0.264686702315962,0.191321129452324,0.309419228892143,0.250103206274942,0.0575938988007034,2678,0,0,7333,25780,0.0498965922006298,0,0,0.252270538048713,0.509355303973287,2288,5595,4410,4305,0,0.0426300981908293,0.104832212250098,0.113277336826693,0.148101004541076,0
"LA REINA",13113,49839,51224,37191,33415,53150,0.836674053182917,0.849345050572044,0.4279,0.3711,0.5805,59568,60310,86906,90053,91556,3,1,"Treated",17872,18249,12034,12194,22344,0.358594674853027,0.356258784944557,0.323572907423839,0.364925931467904,0.420395108184384,25185,24335,10188,12893,29323,0.505327153434058,0.475070279556458,0.273937242881342,0.385844680532695,0.55170272812794,0,0,10432,5556,0,0,0,0.280497969938964,0.166272632051474,0,2860,4359,3004,1762,0,0.0573847789883425,0.0850968296111198,0.0807722298405528,0.0527308095166841,0
"LA SERENA",4101,67305,69048,49811,39209,70257,0.864602736206564,0.847599523710151,0.3468,0.2505,0.4018,77845,81463,143627,156538,174853,87,1,"Treated",36193,28532,31968,21899,23721,0.537746081271822,0.413219789132198,0.641785950894381,0.558519727613558,0.337631837396985,22952,20582,9787,6062,15213,0.341014783448481,0.298082493337968,0.196482704623477,0.154607360554975,0.216533583842179,0,2167,5277,1074,18199,0,0.0313839647781254,0.105940454919596,0.0273916702797827,0.25903468693511,2597,10425,0,8457,11767,0.0385855434217369,0.150981925616962,0,0.21569027519192,0.16748509045362
"LA UNION",14201,19876,19281,17282,14217,13619,0.835126050420168,0.839033942558747,0.5046,0.4065,0.3809,23800,22980,34248,34977,35754,8,1,"Treated",8474,8457,9118,5354,5843,0.426343328637553,0.438618328924848,0.52760097210971,0.376591404656397,0.429032968646744,3462,8953,7646,6983,4753,0.174179915475951,0.464343135729475,0.442425645179956,0.491172539917001,0.348997723768265,6516,0,0,0,2655,0.327832561883679,0,0,0,0.194948234084735,220,773,0,1526,0,0.0110686254779634,0.0400912815725325,0,0.107336287543082,0
"LAGO RANCO",14203,5014,5034,4892,4669,4035,0.851417897775514,0.850337837837838,0.553,0.5267,0.4268,5889,5920,8846,8865,9453,4,1,"Treated",3005,2283,2479,516,805,0.599321898683686,0.453516090584029,0.506745707277187,0.110516170486185,0.199504337050805,1631,1526,2249,2663,3044,0.325289190267252,0.303138657131506,0.459730171708913,0.570357678303705,0.754399008674102,0,1023,0,1344,0,0,0.203218116805721,0,0.287856071964018,0,143,0,0,0,0,0.0285201435979258,0,0,0,0
"LAGO VERDE",11102,561,681,843,903,905,0.820175438596491,0.843866171003718,0.7664,0.6941,0.681,684,807,1100,1301,1329,0,0,"Control",202,250,366,393,330,0.360071301247772,0.367107195301028,0.434163701067616,0.435215946843854,0.364640883977901,190,167,407,453,401,0.338680926916221,0.245227606461087,0.482799525504152,0.501661129568106,0.443093922651934,142,249,46,22,150,0.253119429590018,0.365638766519824,0.0545670225385528,0.0243632336655592,0.165745856353591,19,0,9,0,0,0.0338680926916221,0,0.0106761565836299,0,0
"LAGUNA BLANCA",12102,484,677,720,555,461,0.735562310030395,0.788125727590221,0.598,0.5473,0.5386,658,859,1204,1014,856,0,0,"Control",0,166,0,135,171,0,0.24519940915805,0,0.243243243243243,0.370932754880694,349,355,524,261,140,0.721074380165289,0.52437223042836,0.727777777777778,0.47027027027027,0.303687635574837,0,142,150,142,138,0,0.209748892171344,0.208333333333333,0.255855855855856,0.299349240780911,0,0,0,6,0,0,0,0,0.0108108108108108,0
"LAJA",8304,11860,11713,11467,9710,9758,0.826538434734128,0.814420803782506,0.557,0.4612,0.4516,14349,14382,20586,21053,21610,1,1,"Treated",6367,4744,5768,4301,526,0.536846543001686,0.405020063177666,0.503008633469957,0.442945417095778,0.0539044886247182,4069,6351,5322,4611,2872,0.343086003372681,0.542218048322377,0.464114415278626,0.474871266735324,0.294322607091617,395,0,0,536,6058,0.0333052276559865,0,0,0.0552008238928939,0.62082393933183,360,0,0,0,197,0.03035413153457,0,0,0,0.0201885632301701
"LAMPA",13302,15951,18179,19881,17498,28104,0.912215486675054,0.918316831683168,0.4895,0.3705,0.4714,17486,19796,40612,47225,59623,2,1,"Treated",6997,6474,7969,2757,9084,0.438655883643659,0.356125199405908,0.400834968059957,0.157560864098754,0.323228010247652,3175,7891,8871,7975,4467,0.199047081687668,0.434072281203587,0.446204919269654,0.455766373299806,0.158945345858241,3985,2748,2007,5306,9559,0.249827597015861,0.151163430331701,0.100950656405613,0.303234655389187,0.34012951892969,576,0,417,771,4344,0.0361105886778258,0,0.0209748000603591,0.0440621785346897,0.154568744662681
"LANCO",14103,7871,7980,8195,7239,6863,0.835740072202166,0.833768676209383,0.5449,0.4658,0.4219,9418,9571,15040,15542,16266,0,0,"Control",3133,3618,3114,2278,2764,0.398043450641596,0.453383458646617,0.379987797437462,0.314684348666943,0.402739326825004,2814,2855,4877,3420,2120,0.357514928217507,0.357769423558897,0.595118974984747,0.47244094488189,0.308902812181262,1571,981,0,1378,1590,0.199593444289163,0.122932330827068,0,0.19035778422434,0.231677109135946,79,0,0,0,222,0.0100368441112946,0,0,0,0.0323473699548303
"LAS CABRAS",6107,10577,11068,10399,10047,9956,0.926182136602452,0.919956778322667,0.5739,0.5296,0.4882,11420,12031,18120,18970,20393,0,0,"Control",2801,0,1821,3424,3491,0.264819892218966,0,0.175112991633811,0.340798248233303,0.350642828445159,3257,2484,3475,4839,2211,0.307932305946866,0.224430791470907,0.334166746802577,0.481636309346073,0.222077139413419,3625,5732,4570,1494,4111,0.342724780183417,0.517889410914348,0.439465333205116,0.148701104807405,0.412916834069908,205,2307,0,0,0,0.0193816772241656,0.208438742320202,0,0,0
"LAS CONDES",13114,112237,120430,91532,89509,150441,0.81658384686461,0.832854998997227,0.395,0.3631,0.5582,137447,144599,231725,246481,269517,30,1,"Treated",24930,18905,17047,10976,18955,0.222119265482862,0.156979158017105,0.18624087750732,0.122624540548995,0.125996237727747,75034,84625,64609,67150,58599,0.66853176759892,0.702690359544964,0.705862430625355,0.750203890111609,0.389514826410354,0,0,0,0,0,0,0,0,0,0,4900,7585,5275,7219,69986,0.0436576173632581,0.0629826455202192,0.0576301184285277,0.0806511077098392,0.465205628784706
"LAUTARO",9108,15740,15582,14957,12259,12468,0.831879921780033,0.821792099572807,0.4903,0.3792,0.364,18921,18961,30507,32327,34252,3,1,"Treated",8074,8353,7510,8421,9449,0.512960609911055,0.536067257091516,0.502106037306947,0.686923892650298,0.757860121912095,4812,5182,3988,3147,795,0.30571791613723,0.332563213964831,0.266631008892158,0.256709356391223,0.0637632338787295,1591,592,1851,0,0,0.101080050825921,0.0379925555127711,0.123754763655813,0,0,426,429,1213,0,1800,0.0270648030495553,0.0275317674239507,0.0810991508992445,0,0.14436958614052
"LEBU",8201,11655,11396,11145,9493,9490,0.832321645361708,0.809950248756219,0.5318,0.4435,0.4254,14003,14070,20959,21406,22309,0,0,"Control",4864,5042,3203,6083,6744,0.417331617331617,0.442435942435942,0.287393449977568,0.640787949015064,0.710642781875659,1434,0,1009,2709,2530,0.123037323037323,0,0.0905338716913414,0.285368166017065,0.266596417281349,3528,5613,6529,0,0,0.302702702702703,0.492541242541243,0.585823239120682,0,0,948,0,0,310,0,0.0813384813384813,0,0,0.0326556409986306,0
"LICANTEN",7303,4182,4552,4537,4574,4145,0.894736842105263,0.892899176147509,0.6779,0.67,0.604,4674,5098,6693,6827,6863,0,0,"Control",1556,2029,1288,683,0,0.372070779531325,0.445738137082601,0.283888031739035,0.14932225623087,0,1535,2384,1364,1541,1454,0.367049258727881,0.523725834797891,0.300639188891338,0.336904241364233,0.350784077201448,857,0,1810,2288,2555,0.20492587278814,0,0.398942032179855,0.5002186270223,0.616405307599518,37,0,0,0,0,0.00884744141559063,0,0,0,0
"LIMACHE",5802,18732,19025,15783,13557,18053,0.894128878281623,0.887857009520254,0.4571,0.3732,0.4579,20950,21428,34528,36327,39423,3,1,"Treated",5832,0,5411,2785,0,0.311338885329917,0,0.342837229930938,0.205428929704212,0,9184,4656,9787,7583,6586,0.490284005979073,0.24473061760841,0.620097573338402,0.559342037323892,0.364814712236193,1532,0,0,2425,4720,0.081785180439889,0,0,0.178874382237958,0.261452390184457,413,13199,0,0,6538,0.0220478325859492,0.69377135348226,0,0,0.362155874369911
"LINARES",7401,40538,40478,36314,26492,30173,0.85932929155891,0.847103633015235,0.4857,0.3351,0.3691,47174,47784,74762,79055,81744,4,1,"Treated",17909,13429,17452,10040,6406,0.441783018402487,0.331760462473442,0.48058599988985,0.378982334289597,0.212309017996222,14988,20185,17728,15268,12205,0.369727169569293,0.498665941993181,0.488186374401057,0.576324928280236,0.404500712557585,4915,0,0,0,10720,0.121244264640584,0,0,0,0.35528452590064,0,4059,0,0,0,0,0.100276693512525,0,0,0
"LITUECHE",6203,3622,3971,4219,4098,4256,0.919056077137782,0.920918367346939,0.7653,0.6947,0.6537,3941,4312,5513,5899,6511,1,1,"Treated",1602,1721,2028,1584,1405,0.442297073440088,0.433392092671871,0.480682626214743,0.386530014641288,0.330122180451128,1558,225,2130,2427,1837,0.43014908890116,0.0566607907328129,0.504858971320218,0.592240117130307,0.431625939849624,321,1719,0,0,0,0.0886250690226394,0.43288844119869,0,0,0,48,219,0,0,934,0.0132523467697405,0.0551498363132712,0,0,0.219454887218045
"LLANQUIHUE",10107,7861,8250,8346,8282,7418,0.883556254917388,0.898105813193991,0.5817,0.5371,0.4585,8897,9186,14347,15420,16179,0,0,"Control",1849,2479,4380,5158,4682,0.235211805113853,0.300484848484848,0.524802300503235,0.622796425984062,0.631167430574279,578,1583,3701,719,652,0.0735275410253148,0.191878787878788,0.443445962137551,0.0868147790388795,0.0878943111350768,4801,3438,0,2254,1643,0.610736547513039,0.416727272727273,0,0.272156483941077,0.221488271771367,219,194,0,0,0,0.0278590510113217,0.0235151515151515,0,0,0
"LLAY LLAY",5703,11387,11382,10682,8517,10319,0.927582274356468,0.923264114211551,0.548,0.4309,0.4934,12276,12328,19494,19766,20915,0,0,"Control",6579,6424,5843,6955,5927,0.577764116975498,0.564399929713583,0.546994944766898,0.816602089937772,0.574377362147495,3272,1483,4305,513,2100,0.287345218231316,0.130293445791601,0.403014416775885,0.0602324762240225,0.203508091869367,445,0,0,0,0,0.0390796522350048,0,0,0,0,425,2712,0,551,2112,0.0373232633705102,0.238270954138113,0,0.0646941411295057,0.204670995251478
"LO BARNECHEA",13115,25947,30078,27087,30348,50112,0.861196853529822,0.877395641900761,0.4385,0.4244,0.6062,30129,34281,61766,71512,82669,5,1,"Treated",6155,0,2468,1012,0,0.237214321501522,0,0.0911138184368885,0.03334651377356,0,15479,21062,18616,16592,38685,0.596562222993024,0.700246026996476,0.687266954627681,0.546724660603664,0.771970785440613,0,0,0,10613,0,0,0,0,0.349710030315013,0,1790,5492,3773,1333,10035,0.0689867807453655,0.182591927654764,0.139291911248939,0.0439238170554897,0.200251436781609
