"Comuna","COD","Votacion_2004","Votacion_2008","Votacion_2012","Votacion_2016","Votacion_2021","Participacion_2004","Participacion_2008","Participacion_2012","Participacion_2016","Participacion_2021","Inscritos_2004","Inscritos_2008","Inscritos_Total_2012","Inscritos_Total_2016","Inscritos_Total_2021","n_prot","prot_dum","treat","concertatotal_2004","concertatotal_2008","concertatotal_2012","concertatotal_2016","concertatotal_2021","concerta_prop_2004","concerta_prop_2008","concerta_prop_2012","concerta_prop_2016","concerta_prop_2021","derechatotal_2004","derechatotal_2008","derechatotal_2012","derechatotal_2016","derechatotal_2021","derecha_prop_2004","derecha_prop_2008","derecha_prop_2012","derecha_prop_2016","derecha_prop_2021","indeptotal_2004","indeptotal_2008","indeptotal_2012","indeptotal_2016","indeptotal_2021","indep_prop_2004","indep_prop_2008","indep_prop_2012","indep_prop_2016","indep_prop_2021","otrostotal_2004","otrostotal_2008","otrostotal_2012","otrostotal_2016","otrostotal_2021","otros_prop_2004","otros_prop_2008","otros_prop_2012","otros_prop_2016","otros_prop_2021"
"CALERA",5502,24667,23954,18423,17562,19476,0.901670504806814,0.8956105585882,0.4364,0.4013,0.433,27357,26746,42220,43763,44980,7,1,"Treated",10208,12016,9988,4889,4412,0.413832245510196,0.501628120564415,0.542148401454703,0.278385149755153,0.226535222838365,10712,10252,4108,8666,2008,0.434264401832408,0.427986975035485,0.222982141887858,0.493451770868922,0.103101252823989,0,0,1182,1689,8917,0,0,0.06415893177007,0.096173556542535,0.457845553501746,1389,0,1050,1655,3818,0.056310049864191,0,0.056993974922651,0.0942375583646509,0.196036147052783
"CALERA DE TANGO",13403,9355,10223,10508,10046,11743,0.93353956690949,0.929448131648332,0.5617,0.4804,0.5265,10021,10999,18706,20910,22305,1,1,"Treated",5358,5232,5810,5561,4484,0.572741849278461,0.511787146630148,0.552912066996574,0.553553653195302,0.381844503108235,2548,4272,4324,4205,4864,0.272367717797969,0.4178812481659,0.411496003045299,0.418574557037627,0.414204206761475,721,0,0,0,2110,0.0770710849812934,0,0,0,0.17968151239036,221,0,0,0,0,0.023623730625334,0,0,0,0
"CALLE LARGA",5302,5858,5956,6150,5144,5983,0.907513555383424,0.915744157441574,0.6115,0.491,0.5228,6455,6504,10057,10477,11445,0,0,"Control",1977,2579,4208,3973,3304,0.337487196995562,0.433008730691739,0.684227642276423,0.772356143079316,0.552231322079224,2672,2507,0,584,1576,0.456128371457835,0.420920080591001,0,0.11353032659409,0.263413003509945,196,0,1797,0,0,0.0334585182656197,0,0.292195121951219,0,0,603,490,0,383,836,0.102936155684534,0.0822699798522498,0,0.0744556765163297,0.139729232826341
"CAMARONES",15102,2938,2959,2632,2475,1766,0.768104575163399,0.704859456884231,0.5439,0.5438,0.5206,3825,4198,4839,4551,3392,0,0,"Control",1777,624,502,1111,585,0.604833219877468,0.210882054748226,0.190729483282675,0.448888888888889,0.331257078142695,749,447,0,242,419,0.254935330156569,0.151064548834066,0,0.0977777777777778,0.237259343148358,187,621,1157,1046,730,0.0636487406398911,0.209868198715782,0.439589665653495,0.422626262626263,0.413363533408833,93,1088,901,0,0,0.0316541865214432,0.367691787766137,0.342325227963526,0,0
"CAMINA",1402,2203,1899,1680,1662,1502,0.704058804729946,0.666082076464399,0.567,0.5581,0.536,3129,2851,2963,2978,2802,0,0,"Control",846,490,244,26,0,0.384021788470268,0.258030542390732,0.145238095238095,0.0156438026474128,0,1256,1318,858,703,499,0.570131638674535,0.694049499736704,0.510714285714286,0.422984356197353,0.332223701731025,0,0,531,650,596,0,0,0.316071428571429,0.391095066185319,0.396804260985353,27,0,0,248,372,0.0122560145256468,0,0,0.149217809867629,0.247669773635153
"CANELA",4202,5316,5143,5313,5393,5358,0.845151033386328,0.823934636334508,0.6265,0.6277,0.5922,6290,6242,8480,8591,9047,0,0,"Control",2224,0,0,3046,2374,0.418359668924003,0,0,0.564806230298535,0.44307577454274,141,128,403,0,176,0.0265237020316027,0.0248881975500681,0.0758516845473367,0,0.0328480776409108,53,2547,4753,2277,0,0.0099699021820918,0.495236243437682,0.894598155467721,0.422213981086594,0,2654,2267,46,0,2736,0.499247554552295,0.440793311296908,0.00865800865800866,0,0.51063829787234
"CANETE",8203,14150,14314,14002,12537,10033,0.841560604258356,0.827446673218105,0.5162,0.4419,0.3404,16814,17299,27123,28368,29478,10,1,"Treated",6022,0,7023,4531,3647,0.425583038869258,0,0.501571204113698,0.361410225731834,0.363500448519884,6742,9250,5607,7153,6111,0.476466431095406,0.646220483442783,0.400442793886588,0.570551168541118,0.609090002990133,0,0,931,0,0,0,0,0.066490501356949,0,0,692,3729,0,418,0,0.048904593639576,0.260514181919799,0,0.0333413097232193,0
"CARAHUE",9102,12983,12525,13414,11698,10683,0.837666946254597,0.817825661116552,0.5666,0.4934,0.4326,15499,15315,23674,23709,24697,3,1,"Treated",4827,4300,7744,5445,3112,0.371793884310252,0.343313373253493,0.577307290890115,0.465464181911438,0.291303940840588,6741,5836,4993,5986,4169,0.5192174381884,0.465948103792415,0.372223050544208,0.511711403658745,0.39024618552841,1037,1794,0,0,3054,0.0798736809674189,0.143233532934132,0,0,0.285874754282505,0,0,426,0,261,0,0,0.0317578649172506,0,0.0244313395113732
"CARTAGENA",5603,9724,10399,9276,7709,8407,0.887469197773113,0.880152348709268,0.568,0.4545,0.4612,10957,11815,16330,16962,18227,0,0,"Control",2666,3217,4683,4526,4395,0.274167009461127,0.309356668910472,0.504851228978008,0.587105980023349,0.522778636850244,2656,935,2814,2599,669,0.273138626079803,0.0899124915857294,0.303363518758085,0.337138409651057,0.0795765433567265,3684,5771,1501,0,0,0.378856437679967,0.554957207423791,0.161815437688659,0,0,261,0,0,364,3091,0.026840806252571,0,0,0.0472175379426644,0.367669798977043
"CASABLANCA",5102,10493,11152,11330,9464,10971,0.901692876170834,0.911260009805524,0.5735,0.4484,0.4883,11637,12238,19756,21105,22469,0,0,"Control",6414,5352,3884,2906,2613,0.61126465262556,0.479913916786227,0.342806707855252,0.307058326289096,0.238173366147115,2805,5192,4004,6153,3928,0.267321071190317,0.465566714490674,0.353398058252427,0.650147928994083,0.358034819068453,0,0,3106,0,0,0,0,0.274139452780229,0,0,446,0,0,0,4284,0.0425045268274087,0,0,0,0.390484003281378
"CASTRO",10201,15680,16027,14747,13585,15421,0.831918505942275,0.828654154387053,0.4119,0.3512,0.3725,18848,19341,35801,38678,41394,20,1,"Treated",7947,8998,7834,4603,4390,0.506823979591837,0.561427590940288,0.531226690174273,0.33882959146117,0.284676739511056,5316,4044,4229,5809,10215,0.339030612244898,0.252324202907593,0.28677019054723,0.427603974972396,0.662408404124246,0,0,1984,2644,0,0,0,0.134535837797518,0.194626426205374,0,1138,1268,0,0,0,0.0725765306122449,0.0791164909215698,0,0,0
