Comuna;Validos_2008;Validosp_2008;Nulos_2008;Nulosp_2008;Blancos_2008;Blancosp_2008;Votacion_2008;
PUCHUNCAVI;7618;0.955;232;0.0291;127;0.0159;7977;
PUTAENDO;7332;0.9372;277;0.0354;214;0.0274;7823;
QUILLOTA;34403;0.9242;1929;0.0518;894;0.024;37226;
QUINTERO;11415;0.9344;562;0.046;239;0.0196;12216;
QUILPUE;51478;0.8748;5713;0.0971;1653;0.0281;58844;
RINCONADA;4484;0.9332;201;0.0418;120;0.025;4805;
SAN ANTONIO;38540;0.9246;2153;0.0517;990;0.0238;41683;
SAN ESTEBAN;7600;0.9395;336;0.0415;153;0.0189;8089;
SAN FELIPE;25979;0.913;1618;0.0569;857;0.0301;28454;
SANTA MARIA;6845;0.9536;175;0.0244;158;0.022;7178;
SANTO DOMINGO;7152;0.9573;168;0.0225;151;0.0202;7471;
VALPARAISO;121051;0.8777;13440;0.0975;3423;0.0248;137914;
VILLA ALEMANA;35757;0.8814;3693;0.091;1117;0.0275;40567;
VINA DEL MAR;136314;0.9302;7206;0.0492;3027;0.0207;146547;
ZAPALLAR;4513;0.9535;136;0.0287;84;0.0177;4733;
CHEPICA;7863;0.9711;125;0.0154;109;0.0135;8097;
CHIMBARONGO;15365;0.9274;806;0.0486;397;0.024;16568;
CODEGUA;5840;0.9377;226;0.0363;162;0.026;6228;
COINCO;3908;0.96;90;0.0221;73;0.0179;4071;
COLTAUCO;7540;0.9407;270;0.0337;205;0.0256;8015;
DONIHUE;9517;0.934;446;0.0438;226;0.0222;10189;
GRANEROS;13314;0.9356;481;0.0338;436;0.0306;14231;
LA ESTRELLA;2393;0.9795;29;0.0119;21;0.0086;2443;
LAS CABRAS;10523;0.9508;270;0.0244;275;0.0248;11068;
LITUECHE;3884;0.9781;55;0.0139;32;0.0081;3971;
LOLOL;4131;0.9791;44;0.0104;44;0.0104;4219;
MACHALI;13534;0.915;878;0.0594;380;0.0257;14792;
MALLOA;7472;0.9629;174;0.0224;114;0.0147;7760;
MARCHIGUE;4375;0.9622;93;0.0205;79;0.0174;4547;
MOSTAZAL;9906;0.9347;390;0.0368;302;0.0285;10598;
NANCAGUA;8554;0.9617;196;0.022;145;0.0163;8895;
