Comuna;Mesas_Total_2021;Inscritos_Total_2021;Votacion_sab_2021;Porcentaje_sab_2021;Votacion_2021;Porcentaje_2021
LA CRUZ;48;16329;4282;26.22;8748;53.57
LA LIGUA;92;30181;6715;22.25;14848;49.2
LIMACHE;115;39423;8664;21.98;18053;45.79
LLAY LLAY;61;20915;4529;21.65;10319;49.34
LOS ANDES;165;55969;12698;22.69;24273;43.37
NOGALES;66;19698;4678;23.75;10172;51.64
OLMUE;48;16406;3971;24.2;7891;48.1
PANQUEHUE;20;6599;1436;21.76;4052;61.4
PAPUDO;22;6102;2188;35.86;4447;72.88
PETORCA;30;9462;2515;26.58;4918;51.98
PUCHUNCAVI;60;16007;4869;30.42;9248;57.77
PUTAENDO;41;14044;2764;19.68;6486;46.18
QUILLOTA;221;75479;14104;18.69;30573;40.51
QUILPUE;392;134448;27672;20.58;58075;43.2
QUINTERO;72;24756;5342;21.58;11479;46.37
RINCONADA;28;9470;2923;30.87;6032;63.7
SAN ANTONIO;231;78443;16773;21.38;35138;44.79
SAN ESTEBAN;46;15281;4178;27.34;8627;56.46
SAN FELIPE;177;60075;11834;19.7;25775;42.9
SANTA MARIA;36;12123;2993;24.69;5702;47.03
SANTO DOMINGO;35;11535;3935;34.11;6814;59.07
VALPARAISO;934;290125;53349;18.39;116483;40.15
VILLA ALEMANA;286;98544;19929;20.22;41594;42.21
VINA DEL MAR;942;301370;67998;22.56;130645;43.35
ZAPALLAR;26;8709;3163;36.32;6380;73.26
ALHUE;21;6153;1447;23.52;3478;56.53
BUIN;253;75333;15412;20.46;34644;45.99
CALERA DE TANGO;65;22305;5253;23.55;11743;52.65
CERRILLOS;205;67537;13347;19.76;29158;43.17
CERRO NAVIA;350;115479;17698;15.33;44995;38.96
COLINA;265;90446;20037;22.15;42089;46.53
CONCHALI;387;118624;19911;16.78;48776;41.12
CURACAVI;77;26345;6868;26.07;13697;51.99
EL BOSQUE;432;137677;21926;15.93;53268;38.69
EL MONTE;81;27822;6380;22.93;13961;50.18
ESTACION CENTRAL;399;127214;22570;17.74;48402;38.05
HUECHURABA;218;73498;16268;22.13;37210;50.63
INDEPENDENCIA;238;82629;14756;17.86;31249;37.82
ISLA DE MAIPO;81;27965;6073;21.72;13850;49.53
LA CISTERNA;259;83247;16512;19.83;35649;42.82
LA FLORIDA;911;307414;74548;24.25;155767;50.67
LA GRANJA;318;103905;19427;18.7;43293;41.67
LA PINTANA;509;139100;19037;13.69;50613;36.39
LA REINA;283;91556;30839;33.68;53150;58.05
LAMPA;178;59623;11424;19.16;28104;47.14
LAS CONDES;781;269517;92303;34.25;150441;55.82
LO BARNECHEA;240;82669;29932;36.21;50112;60.62
LO ESPEJO;305;90849;13935;15.34;37116;40.85
LO PRADO;272;88885;15525;17.47;36739;41.33
MACUL;370;101340;27967;27.6;49044;48.4
MAIPU;1165;389758;88082;22.6;194507;49.9
MARIA PINTO;34;11495;2491;21.67;5683;49.44
MELIPILLA;282;97217;15926;16.38;34361;35.34
NUNOA;610;197198;60258;30.56;110886;56.23
PADRE HURTADO;130;44714;10646;23.81;22736;50.85
PAINE;163;53793;9609;17.86;22783;42.35
PEDRO AGUIRRE CERDA;336;93161;17039;18.29;41042;44.05
PENAFLOR;211;72543;17182;23.69;37748;52.04
PENALOLEN;574;191707;40151;20.94;89469;46.67
PIRQUE;78;22646;6018;26.57;12279;54.22
PROVIDENCIA;495;170255;51281;30.12;86563;50.84
