Comuna;Mesas_Total_2017a;Inscritos_Total_2017a;Votacion_2017a;Participacion_2017a
COIHUECO;60;20925;9835;0.47
CONCEPCION;600;199158;97046;0.4873
CONTULMO;16;5834;2595;0.4448
CORONEL;253;86427;41697;0.4825
CURANILAHUE;89;30333;13624;0.4491
EL CARMEN;38;12165;5664;0.4656
FLORIDA;32;10199;4922;0.4826
HUALPEN;243;76227;38059;0.4993
HUALQUI;56;19339;9086;0.4698
LAJA;65;21252;9344;0.4397
LEBU;66;21627;9776;0.452
LOS ALAMOS;57;17286;8096;0.4684
LOS ANGELES;453;156194;66454;0.4255
LOTA;146;48093;23717;0.4931
MULCHEN;78;26264;11649;0.4435
NACIMIENTO;71;24219;10686;0.4412
NEGRETE;26;8640;4248;0.4917
NINHUE;19;6049;2840;0.4695
NIQUEN;32;10235;4689;0.4581
PEMUCO;26;8064;3836;0.4757
PENCO;122;41331;21261;0.5144
PINTO;31;10716;5371;0.5012
PORTEZUELO;17;5818;2845;0.489
QUILACO;13;4150;1920;0.4627
QUILLECO;27;9132;3984;0.4363
QUILLON;45;14834;6678;0.4502
QUIRIHUE;34;10738;5229;0.487
RANQUIL;17;5504;2684;0.4876
SAN CARLOS;135;46396;20824;0.4488
SAN FABIAN;15;4633;2103;0.4539
SAN IGNACIO;41;13950;6458;0.4629
SAN NICOLAS;35;10618;5615;0.5288
SAN PEDRO DE LA PAZ;237;80495;41656;0.5175
SAN ROSENDO;13;4511;2167;0.4804
SANTA BARBARA;38;13008;5783;0.4446
SANTA JUANA;37;12313;5805;0.4715
TALCAHUANO;399;133151;60944;0.4577
TIRUA;26;8720;3985;0.457
TOME;149;49053;23900;0.4872
TREGUACO;20;6098;3078;0.5048
TUCAPEL;35;12518;5438;0.4344
YUMBEL;62;19700;9261;0.4701
YUNGAY;49;15687;6690;0.4265
ANGOL;136;46499;21288;0.4578
CARAHUE;71;24051;10262;0.4267
CHOLCHOL;29;9938;5094;0.5126
COLLIPULLI;66;21603;9485;0.4391
CUNCO;56;19463;7566;0.3887
CURACAUTIN;63;20745;7186;0.3464
CURARREHUE;24;7952;2990;0.376
ERCILLA;25;7940;3033;0.382
FREIRE;68;22184;9306;0.4195
GALVARINO;36;11929;5380;0.451
GORBEA;47;15396;6853;0.4451
LAUTARO;96;33042;14701;0.4449
